Pharmacy Name,Pharmacy_url,Street Address,City,State,State_ab,Zip Code,Phone,Conditions Served,Pharmacy Contact,Contact Email,Accreditation,Company Type,Ownership,Patient Services,Payer Services,Pharmaceutical Services,Pharmacy Locations,Limited Distribution Drugs,
CareSite Specialty Rx,http://www.caresiterx.com,"25 Church St., 4th Floor",Wilkes-Barre,Pennsylvania,PA,18765,570-208-4721,"Oncology, Crohn's Disease, DVT, Hemophilia, Hepatitis C, HIV, Fertility, Multiple Sclerosis, Rheumatoid Arthritis",Lori Zaleski,lzaleski@geisinger.edu,URAC,Subsidiary,Geisinger Health System,"Co-pay assistance, Counseling and support",,,"Woodbine, PA",,
Atrium Health Specialty Pharmacy,http://www.carolinashealthcare.org/medical-services/prevention-wellness/other-prevention-wellness-services/chs-specialty-pharmacy-service-carolina-care,1000 Blythe Boulevard,Charlotte,North Carolina,NC,28203,704-512-6057,"Oncology, Fertility, Growth Hormone, Hepatitis C, Hematology, Multiple Sclerosis, Psoriasis, Psoriatic arthritis, Rheumatoid arthritis, Transplantation",John Robicsek,john.robicsek@atriumhealth.org,URAC,Subsidiary,Carolinas Healthcare System,"Counseling and education, Shipping, Financial assistance",,,,,
Cascade Specialty Pharmacy,http://www.cascaderx.com/,325 NE Hostmark Street,Poulsbo,Washington,WA,98370,360-779-2737,"Pain management, Urology, Dermatology, Wound Care, HRT",Brandon Knott,info@cascaderx.com,,Private,Independent,"Counseling and education, Shipping, Financial assistance",,,,,
Clearview Cancer Institute Pharmacy,http://www.clearviewcancer.com,3601 CCI Drive ,Huntsville,Alabama,AL,35805,256-705-4224,"Oncology, Hematology",Gary Walton,gwalton@ccihsv.com,ACHC,Private,Independent,Counseling and education,,,,,
CCS Oncology,www.ccsoncology.com,3041 Orchard Park Rd,Orchard Park,New York,NY,14127,716-810-9631,Oncology,Shannon Gowen ,info@ccsoncology.com,,Private,Independent,Counseling and education,,,,,
Cedars-Sinai Medical Center,https://www.cedars-sinai.edu/Patients/Programs-and-Services/Pharmacy-Services/For-Patients.aspx,127 South San Vincente Blvd,Los Angeles,California,CA,90048,310-423-1400,"Oncology, Transplantation",Rita Shane,rita.shane@cshs.org,,Subsidiary,Cedars-Sinai Health Center,Counseling and education,,,,,
Cedra Pharmacy,http://www.cedrapharmacy.com/,1207 2nd Ave,New York,New York,NY,10065,212-758-1199,"Crohn's Disease, Hepatitis, HIV, Rheumatoid Arthritis, Psoriasis, Transplantation, Multiple Sclerosis, Oncology",Mazen Karnaby,mazenk@cedrapharmacy.com,"URAC, ACHC",Private,Independent,"Delivery, Financial Assistance, Patient Education",Prior Authorization support,"Adherence programs, Counseling, Reimbursement support","2nd Avenue, New York, NY; Broadway, New York, NY; Dallas, TX; Houston, TX; Montebello, CA; Bronx, NY",,
CHA Outpatient Specialty Pharmacy,https://www.challiance.org/cha-services/specialty-pharmacy,1493 Cambridge Street,Cambridge,Massachusetts,MA,02139,866-319-8257,"Dermatology, Oncology, Gastroenterology, Hematology, Nuerology, Ophthalmology, Urology",Marco Onoroto,monoroto@challinace.org,URAC,Subsidiary,Cambridge Health Alliance,"Counseling and education, 24x7 support, Refill reminders",,,,,
"Chartwell Pennsylvania, L.P.",http://www.chartwellpa.com,215 Beecham Drive,Pittsburgh,Pennsylvania,PA,15205,800-755-4704,"Dermatology, Endocrinology, Enzyme Deficiencies, Gastroenterology, Hepatitis, Neurology, Fertility, Oncology, Rheumatoid Arthritis, Urology, Behavioral Health, Multiple Sclerosis, Pain Management, Pulmonology",Mike Haley,,"URAC, ACHC",Subsidiary,UPMC,"24/7 support, Counseling and Education, Delivery",,,,,
Chevy Chase Care Pharmacy,https://carepharmacies.com/blog/location/chevy-chase-care-pharmacy-2/,8531 Connecticut Avenue,Chevy Chase,Maryland,MD,20815,301-986-5354,"HIV, Hepatitis C, Oncology, Fertility, Multiple Sclerosis, Diabetes, Renal disease, Rheumatoid arthritis",Elnaz Darj,,,Member,CARE Pharmacies,,,,,,
CHI Health Specialty Pharmacy,http://www.chihealth.com/specialty-pharmacy, 7710 Mercy Road,Omaha,,NE,68124,402-398-5503 ,"Autoimmune Disorders, Psoriasis, Rheumatoid Arthritis, Ankylosing Spondylitis, Juvenile Idiopathic Arthritis, Crohn's Disease, Hemophilia",Greg Schardt,,URAC,Subsidiary,CHI Health,"Education, Financial Assistance, Delivery",,,,,
CHI Specialty Pharmacy,http://www.chihealth.com/specialty-pharmacy,7710 Mercy Road,Omaha,Nebraska,NE,68124,402-398-5503,"Autoimmunne Disorders, Psoriasis, Psoriatic Arthritis, Ankylosing Spondylitis, Juvenile Idiopathic Arthritis, Crohn's Disease, Hemophilia, Hepatitis C, HIV, Multiple Sclerosis, Oncology, Transplantation",Greg Schardt,,URAC,Subsidiary,CHI Health,"Counseling and education, Patient financial advocates",,,,,
CHS Specialty Pharmacy Services,http://www.carolinashealthcare.org/medical-services/prevention-wellness/other-prevention-wellness-services/chs-specialty-pharmacy-service-carolina-care,1001 Blythe Boulevard,Charlotte,North Carolina,NC,28203,704-355-6900,"Oncology, Ferility, Growth Hormone, Hepatitis C, Hematology, Multiple Sclerosis, Psoriasis, Rheumatoid Arthritis, Transplantation",Lisa Sutton,,URAC,Subsidiary,Carolinas HealthCare System,"Counseling and education, shipping, Financial assistance",,,,,
Cigna Specialty Pharmacy,http://www.cigna.com,Two Liberty Place,Philadelphia,Pennsylvania,PA,19192,215-761-1000,"Fertility, Multiple Sclerosis, Hepatitis C, Rheumatoid Arthritis, Oncology, Crohn's Disease, Psoriasis",Jeff Nielsen,,URAC,Subsidiary,Cigna,"Pharmacist access, Delivery, Tamper-resistant packaging, Therapy management",,,,"Adcetris, Afinitor, Aldurazym, Acthar, Actimmune, Adcetris,  Afinitor, Aldurazyme, Alecensa, Alprolix, Ampyra, Aubagio, Aralast, Benlysta, Bethkis, Blincyto, Bosulif, Ceprotin, Cerdelga, Ceredase, Cerezyme, Cosentyx, Cotellic, Dacogen, Darzalex, Depocyt, Dupixent, Egrifta, Elaprase, Eloctate, Entyvio, Erivedge, Esbriet, Exjade, Extavia, Eylea, Fabrazyme, Farydak, Firazyr, Fuzeon, Gazyva, Gilenya, Glassia, Herceptin, Hizentra, Humira,  HYQVIA, Ibrance, Ilaris, Iluvien, Inlyta, Jadenu, Jevtana, Kadcyla, Kcentra, Keytruda, Kevzara, Kitabis , Krystexxa, Kuvan, Kyleena, Kynamro, Kyprolis, Lemtrada, Letairis, Liletta, Lucentis, Lumizyme, Macugen, Mirena, Myozyme, Naglazyme, Nexavar, Ninlaro, Nucala, Nulojix, Ocrevus, Opdivo, Opsumit, Orencia, Otezla, Panhematin, Perjeta, Plegridy, Pomalyst, Purixan, Pulmozyme, Revlimid, Samsca, Serostim, Simponi, Simponi,  Aria, Siliq, Skyla, Soliris, Somatuline Depot, Somavert, Stelara, Stivarga, Supprelina,Sutent, Sylatron, Synagis, Tafinlar, Taltz, Tarceva, Tasigna, Tecentriq, Tecfidera, Thalomid, Thyrogen, Tobi, Tobi Podhaler, Tracleer, Tysabri, Valstar, Vantas, Varithena, Vimizim, Vivitrol, Vpriv, Xalkori, Xeljanz, Xolair, Xtandi, Yervoy, Zaltrap, Zarxio, Zelboraf, Zinbryt, Zykadia, Zytiga, Bethkis, Blincyto, Bosulif",
Circle Care Center Pharmacy,http://care.worldhealthclinicians.org/,618 West Ave,Norwalk,Connecticut,CT,06850,203-852-9525,"Hepatitis, HIV",Ranjeeta Mhatre,,URAC,Subsidiary,World Health Clinicians,"Delivery and refills, Financial assistance",,,,Hemlimbra,
CitizensRx,http://www.citizensrx.co,103 West Vandalia,Edwardsville,Illinois,IL,62025,888-545-1120,"Bleeding Disorders, Diabetes, Immunology, Fertility, Crohn's Disease, Rheumatoid arthritis, Hepatitis C, Growth hormone, Osteoarthritis",John Burns,,URAC,Private,Independent,,"Claims processing, Formulary management, Prior authorization and utilization management, On-line reporting and analytics tools",,"Oak Park, IL; Burbank, CA; Chicago, IL; New York, NY; Seattle, WA",,
City Drugs Specialty Pharmacy,http://citydrugsonline.com/pharmacy/,1273 First Avenue,New York,New York,NY,10065,212-988-4500,"Immunology, Crohn's disease, Multiple Sclerosis, Oncology, Rheumatoid Arthritis, Transplantation",Alex Zeygeril,,"URAC, ACHC",Private,Independent,"Prior Authorization, Clinical Counseling, Financial Counseling and Co-Pay Support, Patient Education and training, Delivery and refill","Refill reminders, Co-payment and financial assistance, Delivery options, 24/7 clinical assistance, Patient education and counseling, Full reimbursement support","Data reporting, Clinical support",,,
City View Pharmacy,http://www.cityviewpharmacy.com,23-07 Astoria Boulevard,Astoria,New York,NY,11102,718-545-2550,"HIV, Oncology, Fertility, Hepatitis",Harry Xidias,,,Private,Independent,Delivery,,Adherence and compliance tools,,,
Cleveland Clinic ,http://my.clevelandclinic.org/departments/pharmacy,9500 Euclid Avenue,Cleveland,Ohio,OH,44195,800-223-2273,"Multiple Sclerosis, Hepatitis C, Transplantation, Oncology",Scott Knoer,,URAC,Subsidiary,Cleveland Clinic,"Pharmacist 24/7, Counseling and education, Insurance assistance",,,,,
Columbia Hickory Care Pharmacy,https://carepharmacies.com/blog/location/columbia-hickory-care-pharmacy/,10805 Hickory Ridge Road,Columbia,Maryland,MD,21044,410-964-6409,"HIV, Hepatitis C, Oncology, Fertility, Multiple Sclerosis, Diabetes, Renal disease, Rheumatoid arthritis",H. Yung,,,Member,CARE Pharmacies,Counseling and education,,,,,
ComCare Pharmacy,https://carepharmacies.com/blog/location/comcare-pharmacy/,15419 Excelsior Drive,Bowie,Maryland,MD,20716,301-262-2877,"HIV, Hepatitis C, Oncology, Fertility, Multiple Sclerosis, Diabetes, Renal disease, Rheumatoid arthritis",M. Toyalowo,,,Member,CARE Pharmacies,,,,,,
Commcare Pharmacy,http://www.commcarepharmacy.com,"2817 East Oakland Park Boulevard, Suite 303 ",Fort Lauderdale,Florida,FL,33306,954-332-6170,"HIV, Hepatitis, Dermatology, Transplantation, Gastroenterology, Oncology, Rheumatoid Arthritis, Multiple Sclerosis, Respiratory Disorders",Greg Isaak,,"URAC, ACHC",Subsidiary,"Premier, Inc.","Copayment assistance, Insurance specialists, Free delivery","Compliance reporting, Prior Authorization","Adherence and compliance programs, Custom reporting, Restricted distribution",Hemlimbra,Tarceva,
Community Speiclaty Pharmacy,http://comsprx.com/,1617 34th ST. South Unit B,St Petersburg,Florida,FL,33711,727-896-0001,"HIV, Hepatitis C",Nikul Panchu,,"URAC, ACHC",Private,Independent,"Education, Compliance tracking, Prior Authorization",,,,,
Compass Oncology,www.compassoncology.com,"10101 SE Main Street, Suite 1012",Portland,Oregon,OR,97216,502-256-3627,Oncology,Brad Perrigo ,,,Private,Independent,,,,,,
Community Surgery Center Pharmacy,https://www.comhs.org/services/pharmacy/outpatient-retail-pharmacy-services,801 MacArthur Blvd.,Munster,Indiana,IN,46321,218-836-2480,,Elizabeth Clements,,,Subsidiary,Community Healthcare System,"Counseling and education, delivery, Identification of finacial assistance programs, 24x7 support",Insurance authorization and benefits coorination,,,,
Condo Pharmacy,http://condopharmacy.com/,28 Montcalm Avenue,Plattsburgh,New York,NY,12901,518-563-5946,"Pain management, HRT, Dermatology",Jean Moore,,,Private,Independent,,,,,,
Contra Costa Oncology,http://contracostaoncology.com,500 Lennon Lane,Walnut Creek,California,CA,94598,925-939-9610,Oncology,Michael P. Sherman,,,Private,Independent,,,,,,
Cook's Children Home Health,,,,,,,,,,,,,,,,,,Hemlimbra,
Coordinated Care Network Pharmacy,http://www.coordinatedcarenetwork.org/,300 Penn Center Blvd # 505,Pittsburgh,Pennsylvania,PA,15235,412-439-6300,"HIV, Transplant, Behavioral Health, Oncology, Hepatitis C",Jeffrey Palmer,,URAC,Private,Independent,"24/7 access, Counseling and education, Monthly refill reminders, Adherence tracking",,,"Philadelphia, PA; Newark, NJ; Fort Lauderdale, FL",,
CoramRx Specialty Pharmacy Services,http://www.coramrx.com,4 Spring Mill Drive,Malvern,Pennsylvania,PA,19355,877-267-2679,"Alpha-1, Hemophilia, IVIG, SCig, Multiple Sclerosis, Pain Management, Transplantation",Jennifer Shobert,,,Subsidiary,CVS Specialty,"Pharmacist 24/7, Delivery, Education and counseling","Insurance verification, Therapy management",,,Gatttex,
Cornerstone Pharmacy,http://www.cornerstonepharm.com/,14 Madison Avenue,Valhalla,New York,NY,10595,800-361-1260,"Asthma, Oncology, Growth Hormone, Cystic Fibrosis, PAH, Transplantation, Osteoarthritis, Rheumatoid Arthritis, Crohn's Disease, Multiple Sclerosis, Hepatitis, Fertility, Bleeding Disorders, Psoriasis, Oncology, HIV",Jerry Mirra,,,Affiliate ,Medical Centre Pharmacy,"Counseling and education, Insurance assistance, Pre-authorizations, delivery",,,,,
Costco Health Solutions,http://costcohealthsolutions.com,"215 Deininger Circle, Suite A",Corona,California,CA,92880,866-443-0060,,Theresa Hanna,,,Subsidiary,Costco,"Delivery, Counseling",,,,,
"Cottrill's Pharmacy, Inc.",http://cottrillspharmacy.com/,255 Main St,Arcade,New York,NY,14009,585-492-2310,"Hemophilia, Von Willebrand Disease, IVIG, Multiple Sclerosis, Fertility, HIV, Hepatitis, Transplantation",Dave Obrochta,,"URAC, ACHC",Private,Independent,"Reimbursement specialists, Counseling and support, 24/7 customer service",,,,Hemlimbra,
Credena Health Specialty Pharmacy,http://www.providence.org/credena-health,"6348 NE Halsey Street, Suite A",Portland,Oregon,OR,97213,503-962-1700,"Rheumatoid Arthritis, Multiple Sclerosis, Oncology, Hepatitis C, Cardiovascular, Crohn's disease, Fertility, Growth hormone, Hemophilia, HIV, Psoriasis",Austin Ewing,,URAC,Subsidiary,Providence Health,"Counseling and education, 24/7 support, Financial assistance, Delivery",,,,,
Curant Health,http://www.curanthealth.com,7209 Bryan Dairy Rd.,Largo,Florida,FL,33777,866-437-8040,"Asthma, Cystic Fibrosis, Diabetes, Hepatitis C, HIV, Renal Disease, Psoriasis, Rheumatoid Arthritis",Patrick Dunham,,"URAC, ACHC",Private,Independent,"Refills, , Pharmacist, Co-pay assistance",340B,,,,
Curexa Pharmacy,https://curexa.com/,3007 Ocean Heights Avenue,Egg Harbor Township,New Jersey,NJ,08234,855-927-0390,"HIV, Hepatitis, Crohn's Disease, Psoriasis, Ulcerative Colitis, Ankylosing Spondylitis, Rheumatoid Arthritis, Osteoporosis, Oncology, Pain Management, Fertility, Growth Hormone, Multiple Sclerosis, Osteoarthritis, Transplantation, Wound Care, Cystic Fibrosis, Hemophilia, Growth Hormone, Alpha 1, Asthma, Cardiovascualr, COPD, Chronic Kidney Disease, Factor Deficiencies, Anticoagulation, Hereditary Angioedema, Hypernatremia, Huntingdon's Disease",Andrew Lyle,,"URAC, ACHC",Private,Independent,"Refill reminders, Counseling and education, 24/7 clinical support, Access to translators",Prioritized patient support,Custom designed programs and reporting,,,
CVS Specialty Pharmacy,http://www.caremark.com,One CVS Drive,Woonsocket,Rhode Island,RI,02895,401-765-1500,"Growth Hormone, Immunology, Bleeding Disorders, Cystic Fibrosis, Gastroenterology, Hemophilia, HIV, Fertility, Inflammatory diseases, Oncology, Osteoarthritis, Osteoporosis, Psoriasis, PAH, Pulmonary, Renal disease, RSV, Rheumatoid Arthritis, Transplantation",lan Lotvin,,"JCAHO, URAC",Subsidiary,CVS Health,"Refills and delivery, 24/7 pharmacist, CareTeam support, Financial assistance",,,"24 retail, 11 mail","ACTEMRA, ACTHAR H.P. GEL, ACTIMMUNE, ADCETRIS, ADEMPAS, ALDURAZYME, ALECENSA, ALUNBRIG, AMPYRA, APOKYN, ARALAST NP, ARCALYST, Arestin, ARZERRA, AUBAGIO, AVEED, BAVENCIO, BELEODAQ, BENDEKA, BERINERT, BETHKIS, BIVIGAM, BLINCYTO, BUPHENYL, CABOMETYX, CEPROTIN, CERDELGA, CEREZYME, CINQAIR, CINRYZE, CORIFACT, COSENTYX, COTELLIC, CYSTAGON, DARZALEX, EGRIFTA, ELAPRASE, ELELYSO, EMPLICITI, ERIVEDGE, ESBRIET, EVOMELA, EXJADE, EYLEA, FABRAZYME, FARYDAK, FIRAZYR, GAMMAPLEX, GATTEX, GAZYVA, GENVISC 850, GLASSIA, H. P. ACTHAR GEL, Hemlimbra, HIZENTRA, HYCAMTIN, HYMOVIS,IBRANCE, ILARIS*, ILUVIEN*, IMFINZI*, IMPLANON*, INCRELEX*, INLYTA*, INTRON A*, IRESSA*, ISTODAX*, JADENU*, JAKAFI*, KALBITOR*, KEVZARA*, KEYTRUDA*, KITABIS PAK*, KRYSTEXXA*, KUVAN*, KYLEENA*, KYNAMRO*, KYPROLIS*, LEMTRADA*, LETAIRIS*, LONSURF, LUCENTIS*, LUMIZYME*, MACUGEN*, MAKENA*, MEKINIST*, MIRENA*, MOZOBIL*, MYOZYME*, NAGLAZYME*, NATPARA*, NEXAVAR*, NEXPLANON*, NINLARO*, NORTHERA*, NOVOEIGHT*, NUCALA*, NUPLAZID*, OBIZUR*, OCALIVA*, OCREVUS*, ODOMZO*, OFEV*, OPDIVO*, OPSUMIT*, ORALAIR*, ORENITRAM*, OTEZLA*, OZURDEX*, PERJETA*, PLEGRIDY*, POMALYST*, PRALUENT*, PROMACTA*, PURIXAN*, RADICAVA*, RAVICTI*, REMODULIN*, RETISERT*, REVLIMID*, RITUXAN HYCELA*, RUBRACA*, RUCONEST*, SABRIL*, SAMSCA*, SEROSTIM*, SKYLA*, SOLESTA*, SOLIRIS*, SOMATULINE DEPOT*, SOMAVERT*, STIVARGA*, SUPPRELIN LA*, SYLATRON*, TAFINLAR*, TAGRISSO*, TALTZ*, TARCEVA*, TECENTRIQ*, TECFIDERA*, THYROGEN*, TOBI*, TOBI PODHALER*, TRACLEER*, TRETTEN*, TYKERB*, TYSABRI*, TYVASO*, UPTRAVI*, VELETRI*, VENTAVIS*, VIMIZIM*, VISUDYNE*, VONVENDI*, VOTRIENT*, VPRIV*, XALKORI*, XENAZINE*, XEOMIN*, XOLAIR*, XTANDI*, YONDELIS*, ZALTRAP*, ZECUITY*, ZELBORAF*, ZEMAIRA*, ZINBRYTA*, ZYKADIA*, ZYTIGA* ",
Cypress Pharmacy,http://www.ucdmc.ucdavis.edu/pharmacy/specialty.html,"2221 Stockton Blvd., Room 1130",Sacramento,California,CA,95817,916-734-0900,"Cardiovascualr, Dermatology, Gastroenterology, Hepatology, Infectious Diseases, Neurology, Oncology, Rheumatoid Arthritis, Transplantation",Josephine Lai,,,Subsidiary,UC Davis Health,"Delivery, Benefit and Insurance investigation, Financial assistance, Refill reminders",,,,,
Cystic Fibrosis Pharmacy,http://www.cfpharmacy.com,3901 East Colonial Drive,Orlando,Florida,FL,32803,888-307-4427,Cystic Fibrosis,Lois Adams,,,Subsidiary,HHCS,"Counseling and education, Financial assistance, Pharmacist 24/7",,"Customized data and services, New drug launch coordination, Marketing support, Adherence programs",,,
Cystic Fibrosis Services,http://www.cfservicespharmacy.com,"6931 Arlington Road, Suite 400",Bethesda,Maryland,MD,20814,800-541-4959,Cystic Fibrosis,,,URAC,Subsidiary,Walgreens,,,,,"Kalydeco, Cayston, Creon, Tobi",
Dartmouth-Hitchcock Specialty Pharmacy,http://www.dartmouth-hitchcock.org/at-hospital/specialty-pharmacy.html,1 Medical Center Drive,Lenbanon,New Hampshire,NH,03756,603-653-3737,"Asthma, Ankylosing Spondylitis, Oncology, Cystic Fibrosis, Hepatitis C, Hyperlipemia, Fertility, IBD, Multiple Sclerosis, Juvenile Arthritis, Neutropenia, Psoriasis, Psoriatric Arthritis, Rheumatoid Arthritis",Craig Pike,,CHAP,Subsidiary,Dartmouth-Hitchcock Medical Center,"Counseling and education, 24x7 support, Copay assistance, Refiull remidners, Delivery",,,,,
DaVita Rx,http://davitarx.com,"1234 Lakeshore Drive, Suite 200",Coppell,Texas,TX,75019,888-328-4827,Renal Disease,Len Schiavone,,JCAHO,Subsidiary,Davita Healthcare Partners,"Delivery, Adherence program, Insurance benefit assistance, 24/7 pharmacist",,,"Chandler, AZ; Orlando, FL; San Bruno, CA; Coppell, TX",,
Dayton Physicians Network,www.daytonphysicians.com,"6680 Poe Ave, Suite 200",Dayton,Ohio,OH,45414,937-280-8400,Oncology,Joshua Cox,,,Private,Independent,,,,,,
"DDP Pharmacy, Inc.",http://drugcopharmacy.com/,107 Smith Church Rd,Roanoke Rapids,North Carolina,NC,27870,252-537-7010,"Bleeding Disorders, Crohn's Disease, IVIG, Multiple Sclerosis, Enzyme Disorders, Transplantation",Gene Minton,,,Private,Independent,Counseling and education,,,"Ahoskie, NC; Littleton, NC; Nashville, NC",,
Decillion Healthcare,https://decillionhealthcare.com,270 Cramer Creek Court,Dublin,OHio,OH,43017,614-389-8371,"Hepatitis C, HIV, IVIG, SCIG, Multiple Sclerosis, Oncology, Rheumatoid Arthritis, RSV, Gastroenterology",Kenneth Ford,,JCAHO,Subsidiary,Biometrix,"Counseling and education, 24x7 support, Benefit assistance, delivery",Access tied to chronic accreditations,,,,
Delco Drugs,http://www.delcodrugs.com,3833 Richmond Ave,Staten Island,New York,NY,10312,718-984-6600,"Hormone replacement, Fertility, HIV, Hepatitis",Robert Annicharico,,,Private,Independent,,,,,,
Diablo Valley Oncology/Hematology,www.dvohmg.com,"400 Taylor Blvd., Suite 202",Pleasant Hill,California,CA,94523,925-677-5041,Oncology,Lori Orr,,,Private,Independent,,,,,,
Dik Drug Infusion Pharmacy,http://www.dikdrugco.com/,"7898 E ACOMA DR
SUITE 104
",Scottsdale,Arizona,AZ,85260,"480-300-4005
","Bleeding Disorders, Crohn's Disease, Growth Hormone, Hepatitis C, Immunology, Multiple Sclerosis, Rheumatoid Arthritis, Psoriasis",John Henry Dik,,"URAC, ACHC",Private,Independent,Infusion support,,,,,
Diplomat Pharmacy,http://diplomatpharmacy.com,4100 S. Saginaw Street,Flint,Michigan,MI,48507,888-720-4450 ,"Alpha 1, Cystic Fibrosis, Dermatology, Fabry Disease, Fertility, Growth Hormone, Hemophilia, Hepatitis, HIV, Immunology, Multiple Sclerosis, Oncology, RSV, Rheumatoid Arthritis, Transplantation",Phil Hagerman,,URAC,Public,,"Assistance with financial issues, complicated medication therapies, refill processing, third-party funding support programs, side effect management and adherence monitoring","Compliance and persistency programs, Benefits investigation, Prior Authorization","REMS support, HUB services","Cincinnati, OH; Ontario, CA; Flint, MI; Carlsbad, CA; Raleigh, NC; Scottsdale, AZ; Woburn, MA: Enfield, CT; Buffalo Grove, IL; Media, PA; Savage, MN: Fort Lauderdale, FL; Urbandale, IA; Columbia, MD; Greensboro, NC","Ampyra, Aveed, Calquence, Cometriq, Esbriet, Hemlimbra, Ibrance, Iclusig, Imbruvica, Inlyta, Keveyis, Nexavar, Orkambi, Plegridy, Praluent, Tagrisso, Tykerb, Votrient, Zydelig, Zykadia, Ocrevus, Nerlynx, Xalkori, Bosiluf, Sutent, Nityr, Orcevus, Xolair, Zejula, Ibrance, Inlyta, Xalkori, Bosulif, Sutent, Tarceva, REVLIMID, Cuvposa, Cabometyx, VENCLEXTA, Humira, Nerlynx, Cuvitru, Zejula, Xermelo, Kisqali, Dupixent, Verzenio",
Direct Meds of Camden,http://www.cooperhealth.org/departments-programs/direct-meds-camden,One Cooper Plaza,Camden,New Jersey,NJ,08103,856-342-2000,,Kairi Liou,,,Subsidiary,Cooper University Health Care,,,,,,
DirectRx Pharmacy,http://www.directrx.com,1179 Maplelawn Drive ,Troy,Michigan,MI,48084,800-422-3227,"Crohn's Disease, Hepatitis C, HIV, Multiple Sclerosis, Oncology, Osteoporosis, Transplantation, Psoriasis, Respiratory Disorders, Rheumatoid Arthritis",Santa Zawaideh,,"URAC, ACHC",Subsidiary,Serve-You-Rx,"Pharmacist availability, Compliance packaging, Delivery",,,,,
Dobbs Ferry Pharmacy,http://www.dobbsferrypharmacy.com,18 Cedar Street,Dobbs Ferry,New York,NY,10522,800-941-8380 ,Fertility,Bruce Glickman,,,Private,Independent,DesignRx,,,,,
Dohmen Life Science Services,http://www.centrichealthresources.com,17877 Chesterfield Airport Road,Chesterfield,Missouri,MO,63005,636-519-2400,Growth Hormone,Penny Bemus,,URAC,Subsidiary,Dohmen Life Sciences,"Counseling and education, Assessments",Monitoring,"REMS support, Reimbursement support, Custom reporting, Program management, 3PL services",,,Ferriprox
Dolphin Health,http://www.dolphinhealth.com/index.php,7400 Macarthur Blvd. Suite A,Oakland,California,CA,94605,510-900-3131,"Hepatitis C, Rheumatoloid Arthritis, Gastroenterology, Multiple Sclerosis",Kalpesh Patel,,URAC,Private,Independent,Financial assistance,,,,,
Dottie's Pharmacy,http://dotspharmacy.com/,354 Folly Road,Charleston,South Carolina,SC,29412,843-501-9500,"Dermatology, Hepatitis C, Rheumatoloid Arthritis, Cardiovascular",Dottie Farfone,,,Private,Independent,"24x7 access, Counseling and education",,,,,
Drugco Discount Pharmacy,https://drugcopharmacy.com/,107 Smith Church Road,Roanoke Rapids,North Carolina,NC,27870,252-537-7010,"Bleeding Disorders, Crohn's Disease, IVIG, Multiple Sclerosis, Enzyme Disorders, Transplantation",Gene Minton,,URAC,Private,Independent,"Counseling and education, Refill reminders",,,"Ahoskie, NC; Littleton, NC; Nashville, NC",Hemlimbra,
Duke Specialty Pharmacy,https://www.dukehealth.org/locations/duke-specialty-pharmacy,20 Duke Medicine Circle Room 0N44,Durham,North Carolina,NC,27710,919-613-2000,"Oncology, Hepatology, HIV, Rheumatoid Arthritis, Cystic Fibrosis, Transplantation, Neurology",Colin Sheffield,,,Subsidiary,Duke Cancer Center,Benefit verification assistance,,,,,
Duncan Specialty Pharmacy,www.duncanrxcenter.com,317 West Broadway Street,Mayfield,Kentucky,KY,,270-247-3345,"Crohn's Disease, Hepatitis C, Multiple Sclerosis, Psoriasis, RSV, Rheumatoid Arthritis, Women's Health",Andy Hayden,,ACHC,Private,Independent,,,,,,
Dunn Meadow LLC,https://www.dunnmeadow.com/,"1555 Center Avenue, 1st Floor",Fort Lee,New Jersey,NJ,07024,201-949-3400,Oncology,Randall Novak,,"URAC, ACHC",Private,Independent,"24x7 support, Benefits investigation, Prior Authorization support, Financial assistance porgrams","Prior Authorizations, Patient Safety & Compliance, Adherence and Compliance",,,,
E&M Pharmacy,http://theempharmacy.com/,205 S Essex Ave,City of Orange,New Jersey,NJ,07050,973-677-2800,,Ashok Padmanbham,,URAC,Private,Independent,"Free delivery, Counseling and education",,,,,
Echo SalveoSpecialty Pharmacy,http://echodrugs.net/,260 Broadway,Brooklyn,New York,NY,11211,718-782-2626,"Hepatitis C, Gastroenterology, Oncology, Respiratory Disorders, Transplantation, Diabetes, Dermatology, Rheumatoloid Arthritis, Multiple Sclerosis",Mark Tartakovsky,,Pending,Private,Independent,"Counseling and education, 24-hour clinical call center","Disease therapy management programs, Actional reports",,,"Ibrance, Inlyta, Xalkori, Bosulif, Sutent",
Edge Pharmacy,https://edgepharmacy.com/,"856 Hercules Drive, Suite 30",Colchester,Vermont,VT,05446,802-992-1178,,William Chatoff,,ACHC,Private,Independent,,,,,,
Einstein at Center One Pharmacy,https://www.einstein.edu,9880 Bustleton Avenue,Philadelphia,Pennsylvania,PA,19115,800-346-7834,"Oncology, Hepatitis C",Deborah Hauser,,URAC,Subsidiary,Einstein Medical Center,"Education and counseling, Delivery",,,"Elkins Park, PA (2); East Norriton, PA; Collegeville, PA; Philadelphia, PA (4)",,
